name,_attribute_set,_category,manufacturer,_type,_product_websites,country_of_manufacture,description,cost,special_price,price,sku,short_description,weight,visibility,tax_class_id,status
Agar Flakes 30g G/F Spiral,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Agar Flakes 30g G/F Spiral,$6.85,9.2475,10.275,,Agar Flakes 30g G/F Spiral,0,4,0,1
Agave Nectar 350g ACO,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Agave Nectar 350g ACO,$4.90,6.615,7.35,,Agave Nectar 350g ACO,0,4,0,1
Agave Nectar 250ml OCIA cert,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Agave Nectar 250ml OCIA cert,$5.65,7.6275,8.475,,Agave Nectar 250ml OCIA cert,0,4,0,1
Alfalfa Seeds 120g SA Sprouts,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Alfalfa Seeds 120g SA Sprouts,$1.25,1.6875,1.875,,Alfalfa Seeds 120g SA Sprouts,0,4,0,1
Lotus-Almond Meal-125g ,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Lotus-Almond Meal-125g ,$4.00,5.4,6,9317127060512,Lotus-Almond Meal-125g ,0,4,0,1
Lotus-Soy Grits-500g ,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Lotus-Soy Grits-500g ,$1.00,1,1,9317127061304,Lotus-Soy Grits-500g ,0,4,0,1
Pure Harvest -Organic-Almond Milk-1Ltr,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Pure Harvest -Organic-Almond Milk-1Ltr,$5.40,7.29,8.1,9312231231018,Pure Harvest -Organic-Almond Milk-1Ltr,0,4,0,1
Almond Butter 230g organic,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Almond Butter 230g organic,$6.85,9.2475,10.275,,Almond Butter 230g organic,0,4,0,1
Tri Natural-Aloe Vera Juice-1Lt ,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Tri Natural-Aloe Vera Juice-1Lt ,$14.80,19.98,22.2,9333005002887,Tri Natural-Aloe Vera Juice-1Lt ,0,4,0,1
Amar.Grain kg Peru Biolatina,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Amar.Grain kg Peru Biolatina,$8.85,11.9475,13.275,,Amar.Grain kg Peru Biolatina,0,4,0,1
Arame 50g G/F Spiral,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Arame 50g G/F Spiral,$6.20,8.37,9.3,,Arame 50g G/F Spiral,0,4,0,1
Arrowroot 250g Lotus,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Arrowroot 250g Lotus,$2.00,2.7,3,,Arrowroot 250g Lotus,0,4,0,1
Avo Oil Woodga Pk BFA458,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Avo Oil Woodga Pk BFA458,$9.75,13.1625,14.625,,Avo Oil Woodga Pk BFA458,0,4,0,1
Lotus-Baking Powder-150g ,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Lotus-Baking Powder-150g ,$3.90,5.265,5.85,9317127060949,Lotus-Baking Powder-150g ,0,4,0,1
Bar New 40g ACO,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Bar New 40g ACO,$2.95,3.9825,4.425,,Bar New 40g ACO,0,4,0,1
Barley Flakes 250g Lotus,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Barley Flakes 250g Lotus,$3.20,4.32,4.8,,Barley Flakes 250g Lotus,0,4,0,1
Spiral-Barley Malt-300g  org,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Spiral-Barley Malt-300g  org,$4.40,5.94,6.6,9312336786000,Spiral-Barley Malt-300g  org,0,4,0,1
Cleo's Bath Milk 2Lt,Default,All Organics,STEVE'S ORGANICS,simple,base,Australia,Cleo's Bath Milk 2Lt,$4.55,6.1425,6.825,,Cleo's Bath Milk 2Lt,0,4,0,1
